"Timestamp","EX1_FAN_IN_RH_ITL","EX1_FAN_OUT_RH_ITL","FA1_FAN_IN_RH_ITL","FA1_FAN_OUT_RH_ITL"
"21-03-2018 03:31:00","48.55","43.15","37.14","43.06"
"21-03-2018 03:30:00","49.33","43.73","37.46","43.40"
"21-03-2018 03:29:00","49.64","44.04","37.76","43.74"
"21-03-2018 03:28:00","49.89","43.87","37.79","43.72"
"21-03-2018 03:27:00","49.72","43.78","37.90","43.66"
"21-03-2018 03:26:00","50.06","43.67","37.69","43.63"
"21-03-2018 03:25:00","50.30","43.68","37.72","43.66"
"21-03-2018 03:24:00","50.62","43.75","37.78","43.66"
"21-03-2018 03:23:00","51.16","43.71","37.78","43.71"
"21-03-2018 03:22:00","51.16","43.48","37.69","43.61"
"21-03-2018 03:21:00","51.75","43.48","37.62","43.64"
"21-03-2018 03:20:00","52.05","43.45","37.64","43.65"
"21-03-2018 03:19:00","52.41","43.28","37.62","43.45"
"21-03-2018 03:18:00","53.52","43.07","37.28","43.42"
"21-03-2018 03:17:00","52.94","43.26","37.67","43.48"
"21-03-2018 03:16:00","50.85","42.86","37.16","42.96"
"21-03-2018 03:15:00","48.31","42.72","37.03","42.58"
"21-03-2018 03:14:00","46.72","42.79","37.06","42.51"
"21-03-2018 03:13:00","46.33","42.93","37.25","42.54"
"21-03-2018 03:12:00","46.22","42.77","36.95","42.46"
"21-03-2018 03:11:00","46.06","42.47","36.71","42.23"
"21-03-2018 03:10:00","46.11","42.54","36.71","42.25"
"21-03-2018 03:09:00","46.25","42.47","36.43","42.28"
"21-03-2018 03:08:00","46.64","42.54","36.49","42.28"
"21-03-2018 03:07:00","47.25","42.54","36.46","42.37"
"21-03-2018 03:06:00","47.08","42.76","36.69","42.58"
"21-03-2018 03:05:00","47.12","42.81","36.86","42.65"
"21-03-2018 03:04:00","47.60","42.81","36.76","42.65"
"21-03-2018 03:03:00","48.10","43.67","37.41","43.26"
"21-03-2018 03:02:00","48.18","43.19","37.27","43.07"
"21-03-2018 03:01:00","48.21","43.24","37.35","43.04"
"21-03-2018 03:00:00","48.24","43.28","37.28","43.10"
"21-03-2018 02:59:00","48.02","43.03","37.27","42.95"
"21-03-2018 02:58:00","48.39","42.97","37.06","42.88"
"21-03-2018 02:57:00","48.37","42.93","37.17","42.91"
"21-03-2018 02:56:00","49.01","42.70","37.08","42.84"
"21-03-2018 02:55:00","49.35","43.35","37.75","43.32"
"21-03-2018 02:54:00","48.95","42.58","36.85","42.68"
"21-03-2018 02:53:00","49.24","42.45","36.66","42.61"
"21-03-2018 02:52:00","49.68","42.38","36.67","42.54"
"21-03-2018 02:51:00","50.33","42.45","36.64","42.68"
"21-03-2018 02:50:00","50.17","42.14","36.40","42.44"
"21-03-2018 02:49:00","51.31","42.03","36.02","42.54"
"21-03-2018 02:48:00","52.37","42.23","36.35","42.74"
"21-03-2018 02:47:00","53.03","42.57","36.63","42.95"
"21-03-2018 02:46:00","54.20","42.68","36.66","43.12"
"21-03-2018 02:45:00","52.43","42.81","36.86","43.05"
"21-03-2018 02:44:00","50.81","42.79","37.08","42.84"
"21-03-2018 02:43:00","49.85","42.50","36.67","42.61"
"21-03-2018 02:42:00","49.34","42.37","36.67","42.47"
"21-03-2018 02:41:00","48.76","42.26","36.64","42.39"
"21-03-2018 02:40:00","48.14","42.37","36.71","42.31"
"21-03-2018 02:39:00","47.62","42.22","36.35","42.11"
"21-03-2018 02:38:00","47.23","42.36","36.49","42.18"
"21-03-2018 02:37:00","46.94","42.39","36.63","42.23"
"21-03-2018 02:36:00","46.84","42.22","36.30","42.12"
"21-03-2018 02:35:00","46.36","42.15","36.34","41.98"
"21-03-2018 02:34:00","46.30","41.98","36.06","41.78"
"21-03-2018 02:33:00","46.20","41.88","36.08","41.74"
"21-03-2018 02:32:00","46.20","41.66","35.89","41.61"
"21-03-2018 02:31:00","46.47","41.56","35.86","41.61"
"21-03-2018 02:30:00","46.65","41.63","35.74","41.63"
"21-03-2018 02:29:00","46.58","41.38","35.46","41.46"
"21-03-2018 02:28:00","46.67","41.24","35.32","41.33"
"21-03-2018 02:27:00","47.14","41.38","35.34","41.56"
"21-03-2018 02:26:00","47.12","41.24","35.40","41.40"
"21-03-2018 02:25:00","47.12","40.91","34.98","41.16"
"21-03-2018 02:24:00","47.60","40.84","34.70","41.20"
"21-03-2018 02:23:00","48.21","41.14","35.21","41.56"
"21-03-2018 02:22:00","48.39","41.24","35.24","41.51"
"21-03-2018 02:21:00","48.93","41.31","35.11","41.61"
