"Timestamp","EX2_FAN_IN_TEMP_ITL","EX2_FAN_OUT_TEMP_ITL","FA2_FAN_IN_TEMP_ITL","FA2_FAN_OUT_TEMP_ITL"
"21-03-2018 03:32:00","26.35","33.77","31.90","31.89"
"21-03-2018 03:31:00","27.11","33.21","32.08","32.64"
"21-03-2018 03:30:00","28.03","33.69","32.17","32.21"
"21-03-2018 03:29:00","29.31","33.65","31.81","32.95"
"21-03-2018 03:28:00","29.46","33.81","31.75","32.95"
"21-03-2018 03:27:00","29.30","33.20","31.77","32.55"
"21-03-2018 03:26:00","29.37","33.11","31.59","32.81"
"21-03-2018 03:25:00","29.21","33.50","31.69","32.70"
"21-03-2018 03:24:00","29.23","32.91","31.81","32.48"
"21-03-2018 03:23:00","29.05","33.14","32.17","32.85"
"21-03-2018 03:22:00","28.89","33.02","31.97","32.40"
"21-03-2018 03:21:00","28.72","32.97","31.83","32.33"
"21-03-2018 03:20:00","28.78","33.15","31.90","32.38"
"21-03-2018 03:19:00","28.77","33.25","32.00","32.51"
"21-03-2018 03:18:00","28.61","33.58","31.95","32.23"
"21-03-2018 03:17:00","28.68","33.70","32.08","32.42"
"21-03-2018 03:16:00","28.35","32.93","31.97","32.32"
"21-03-2018 03:15:00","28.31","33.46","32.06","32.30"
"21-03-2018 03:14:00","27.86","33.27","32.08","31.94"
"21-03-2018 03:13:00","27.73","33.59","32.44","32.45"
"21-03-2018 03:12:00","27.60","33.39","32.22","31.79"
"21-03-2018 03:11:00","27.21","32.84","32.28","32.29"
"21-03-2018 03:10:00","27.29","33.60","32.22","31.74"
"21-03-2018 03:09:00","26.37","33.28","32.36","31.93"
"21-03-2018 03:08:00","26.25","33.97","31.87","31.63"
"21-03-2018 03:07:00","25.78","33.55","32.31","31.13"
"21-03-2018 03:06:00","24.77","33.61","32.00","31.49"
"21-03-2018 03:05:00","23.52","33.54","32.12","30.95"
"21-03-2018 03:04:00","24.17","33.47","32.22","31.62"
"21-03-2018 03:03:00","24.52","33.51","31.82","31.45"
"21-03-2018 03:02:00","25.00","33.78","31.92","31.92"
