Timestamp,EX1_FAN_IN_TEMP_ITL,EX1_FAN_OUT_TEMP_ITL,FA1_FAN_IN_TEMP_ITL,FA1_FAN_OUT_TEMP_ITL,
20/03/18 15:28,21.5,30.26,32.27,26.31,1
20/03/18 15:29,21.1,30.06,32.56,26.45,1
20/03/18 15:30,21.5,30.14,32.92,26.37,1
20/03/18 15:31,21.61,30.55,32.71,26.4,1
20/03/18 15:32,22.09,30.4,32.55,26.34,1
20/03/18 15:33,23.07,30.49,32.4,26.92,1
20/03/18 15:34,23.58,30.72,32.39,27.28,1
20/03/18 15:35,24.05,30.35,32.44,27.6,1
20/03/18 15:36,24.34,31.04,32.59,27.93,1
20/03/18 15:37,24.88,30.99,32.82,28.22,1
20/03/18 15:38,24.98,30.93,32.54,28.13,1
20/03/18 15:39,24.95,31.09,32.84,28.34,1
20/03/18 15:40,25.37,31.54,32.28,28.36,1
20/03/18 15:41,25.07,31.07,32.46,28.39,1
20/03/18 15:42,25.6,30.87,32.39,28.71,1
20/03/18 15:43,25.6,30.87,32.22,28.68,1
20/03/18 15:44,25.86,31.16,32.09,28.73,1
20/03/18 15:45,25.86,30.94,32.17,28.92,1
20/03/18 15:46,25.77,31.44,32.31,28.87,1
20/03/18 15:47,25.72,30.82,32.02,29.01,1
20/03/18 15:48,25.89,30.73,32.04,29.12,1
20/03/18 15:49,26.36,30.92,32.06,29.06,1
20/03/18 15:50,25.54,31.28,32.37,28.81,1
20/03/18 15:51,24.61,31.23,32.44,28.6,1
20/03/18 15:52,23.97,30.83,32.98,28.08,1
20/03/18 15:53,23.57,30.7,32.74,28.04,1
20/03/18 15:54,23.01,30.98,32.5,27.71,1
20/03/18 15:55,22.83,31.28,32.52,27.31,1
20/03/18 15:56,21.83,30.71,32.96,27.25,1
20/03/18 15:57,24.21,32.18,32.25,31.28,5
20/03/18 15:58,24.12,32.53,32.5,31.52,5
20/03/18 15:59,24.85,33,32.69,31.9,5
20/03/18 16:00,24.8,33.17,32.39,31.92,5
20/03/18 16:01,25.62,32.56,32.7,31.92,5
20/03/18 16:02,25.88,33.12,33.06,32.08,5
20/03/18 16:03,26.25,33.1,32.68,32.14,5
20/03/18 16:04,26.48,32.55,32.75,32.15,5
20/03/18 16:05,26.76,32.89,32.63,32.21,5
20/03/18 16:06,27.22,32.84,32.44,32.28,5
20/03/18 16:07,27.29,32.85,32.18,32.27,5
20/03/18 16:08,27.41,33.16,33.13,32.38,5
20/03/18 16:09,27.36,33.02,32.51,32.58,5
20/03/18 16:10,27.77,32.92,32.64,32.51,5
20/03/18 16:11,28.06,33.13,32.85,32.55,5
20/03/18 16:12,27.96,32.66,32.43,32.37,5
20/03/18 16:13,27.95,33.03,32.9,32.49,5
20/03/18 16:14,27.34,33.01,32.68,32.44,5
20/03/18 16:15,26.66,32.71,32.4,32.41,5
20/03/18 16:16,26.08,33.01,32.64,32.37,5
20/03/18 16:17,25.38,32.95,32.74,32.39,5
20/03/18 16:18,25.45,33.23,32.92,32.54,5
20/03/18 16:19,24.91,32.76,32.63,32.35,5
20/03/18 16:20,24.68,33.11,32.54,32.15,5
20/03/18 16:21,24.05,32.7,32.51,32.16,5
20/03/18 16:22,23.9,32.75,32.41,32.13,5
20/03/18 16:23,23.84,33.04,32.8,32.16,5
20/03/18 16:24,23.99,32.91,32.38,32.08,5
20/03/18 16:25,25.18,32.77,32.58,31.92,5
20/03/18 16:26,25.83,32.86,32.81,32.16,5
20/03/18 16:27,26.1,33.14,32.62,32.3,5
20/03/18 16:28,26.25,32.8,32.88,32.36,5
20/03/18 16:29,26.58,33.3,33.05,32.43,5
20/03/18 16:30,27.04,32.7,32.86,32.46,5
20/03/18 16:31,27.06,33.17,32.91,32.54,5
20/03/18 16:32,27.26,32.76,32.67,32.55,5
20/03/18 16:33,27.89,32.75,32.55,32.48,5
20/03/18 16:34,27.76,33.13,32.53,32.49,5
20/03/18 16:35,27.83,33.05,32.52,32.5,5
20/03/18 16:36,27.97,32.75,32.84,32.41,5
20/03/18 16:37,28.39,33.17,32.92,32.7,5
20/03/18 16:38,28.05,32.96,32.57,32.79,5
20/03/18 16:39,28.59,32.96,32.63,32.59,5
20/03/18 16:40,28.46,32.9,32.51,32.52,5
20/03/18 16:41,28.8,32.5,32.43,32.59,5
20/03/18 16:42,28.81,32.46,32.46,32.36,5
20/03/18 16:43,28.67,32.53,32.48,32.47,5
20/03/18 16:44,28.79,32.49,32.14,32.6,5
20/03/18 16:45,28.82,32.45,32.3,32.38,5
20/03/18 16:46,28.74,32.78,31.95,32.26,5
20/03/18 16:47,29,32.27,32.36,32.38,5
20/03/18 16:48,29,32.62,32.36,32.72,5
20/03/18 16:49,28.26,32.92,32.35,32.45,5
20/03/18 16:50,27.33,32.53,32.38,32.38,5
20/03/18 16:51,26.94,32.93,32.6,32.39,5
20/03/18 16:52,26.52,32.9,32.87,32.43,5
20/03/18 16:53,25.9,33.14,32.6,32.3,5
20/03/18 16:54,25.44,33.1,32.52,32.29,5
20/03/18 16:55,25.27,32.24,32.38,32.21,5
20/03/18 16:56,24.64,32.98,32.54,32.09,5
20/03/18 16:57,24.25,32.7,32.3,32.23,5
20/03/18 16:58,24.03,33.07,32.58,32.01,5
20/03/18 16:59,23.84,32.69,32.41,32.03,5
20/03/18 17:00,23.61,32.87,32.59,31.98,5
20/03/18 17:01,25.05,32.4,32.39,32.24,5
20/03/18 17:02,25.73,32.6,32.42,32.09,5
20/03/18 17:03,26.04,32.29,32.38,32.24,5
20/03/18 17:04,26.41,32.72,32.54,32.18,5
20/03/18 17:05,26.53,32.78,32.5,32.16,5
20/03/18 17:06,27.07,33.12,32.41,32.25,5
20/03/18 17:07,27.16,32.89,32.57,32.3,5
20/03/18 17:08,27.4,32.77,32.53,32.35,5
20/03/18 17:09,27.61,32.83,32.58,32.31,5
20/03/18 17:10,27.71,32.74,32.81,32.41,5
20/03/18 17:11,28.12,32.56,32.75,32.62,5
20/03/18 17:12,27.88,32.76,32.5,32.4,5
20/03/18 17:13,28.11,32.52,32.74,32.55,5
20/03/18 17:14,28.06,33.16,32.63,32.6,5
20/03/18 17:15,28.27,32.69,32.44,32.4,5
20/03/18 17:16,28.63,32.55,32.4,32.69,5
20/03/18 17:17,28.74,32.71,32.49,32.4,5
20/03/18 17:18,28.42,32.72,32.82,32.66,5
20/03/18 17:19,28.49,33.34,32.75,32.61,5
20/03/18 17:20,28.63,32.81,32.34,32.63,5
20/03/18 17:21,28.68,33.2,32.47,32.61,5
20/03/18 17:22,28.67,32.59,32.38,32.62,5
20/03/18 17:23,27.69,32.62,32.36,32.3,5
20/03/18 17:24,26.78,32.38,32.36,32.46,5
20/03/18 17:25,26.05,32.56,32.22,32.21,5
20/03/18 17:26,25.92,32.38,32.13,32.16,5
20/03/18 17:27,25.38,32.71,32.28,32.16,5
20/03/18 17:28,25.13,32.73,32.28,32.1,5
20/03/18 17:29,24.65,32.64,32.09,32.03,5
20/03/18 17:30,24.67,32.35,32.12,31.98,5
20/03/18 17:31,24.08,32.33,32.04,31.79,5
20/03/18 17:32,23.76,32.65,32.27,31.68,5
20/03/18 17:33,24.57,32.79,32.48,31.86,5
20/03/18 17:34,25.29,32.52,32.59,31.92,5
20/03/18 17:35,25.88,32.65,32.17,31.88,5
20/03/18 17:36,26.26,32.31,32.11,32.05,5
20/03/18 17:37,26.65,32.55,32.43,32.01,5
20/03/18 17:38,26.7,32.04,32.1,31.86,5
20/03/18 17:39,27,31.46,31.83,29.59,1
20/03/18 17:40,26.84,31,31.96,29.69,1
20/03/18 17:41,26.96,31.06,31.87,29.59,1
20/03/18 17:42,26.99,31.63,31.75,29.52,1
20/03/18 17:43,26.83,31.11,32.02,29.51,1
