Timestamp,EX1_FAN_IN_RH_ITL,EX1_FAN_OUT_RH_ITL,FA1_FAN_IN_RH_ITL,FA1_FAN_OUT_RH_ITL,class
19-03-2018 12:35:00,68.63,47.14,34.82,54.85,1
19-03-2018 12:36:00,68.8,47.04,34.56,54.82,1
19-03-2018 12:37:00,68.96,47.09,34.57,54.82,1
19-03-2018 12:38:00,69.18,47.42,35.01,55.09,1
19-03-2018 12:39:00,69.04,47.42,35.09,55.03,1
19-03-2018 12:40:00,69.07,47.89,35.63,55.33,1
19-03-2018 12:41:00,69.16,48.06,35.87,55.47,1
19-03-2018 12:42:00,68.69,47.28,34.79,54.97,1
19-03-2018 12:43:00,68.2,47.09,34.76,54.65,1
19-03-2018 12:44:00,67.43,47.04,34.86,54.5,1
19-03-2018 12:45:00,66.42,46.12,34.03,53.64,1
19-03-2018 12:46:00,65.35,46.06,34.46,53.34,1
19-03-2018 12:47:00,64.21,45.45,33.97,52.66,1
19-03-2018 12:48:00,63.34,45.55,34.69,52.43,1
19-03-2018 12:49:00,62.7,45.38,34.53,52.15,1
19-03-2018 12:50:00,61.79,45.35,34.98,51.91,1
19-03-2018 12:51:00,61.29,45.37,35.24,51.85,1
19-03-2018 12:52:00,60.77,45.03,34.76,51.47,1
19-03-2018 12:53:00,60.03,44.8,34.84,51.05,1
19-03-2018 12:54:00,59.83,44.96,35.13,51.11,1
19-03-2018 12:55:00,59.28,44.45,34.67,50.61,1
19-03-2018 12:56:00,58.87,44.68,35.23,50.64,1
19-03-2018 12:57:00,58.48,44.72,35.44,50.5,1
19-03-2018 12:58:00,58.1,44.42,34.86,50.14,1
19-03-2018 12:59:00,57.81,44.23,34.73,49.99,1
19-03-2018 13:00:00,57.46,44.23,34.95,49.82,1
19-03-2018 13:01:00,56.87,43.86,34.79,49.42,1
19-03-2018 13:02:00,55.58,43.23,34.59,48.54,1
19-03-2018 13:03:00,55.14,43.19,34.82,48.39,1
19-03-2018 13:04:00,55.03,42.76,34.19,48.09,1
19-03-2018 13:05:00,55.08,42.52,33.76,47.99,1
19-03-2018 13:06:00,55.32,42.62,34.41,48.11,1
19-03-2018 13:07:00,55.7,42.56,34.17,48.21,1
19-03-2018 13:08:00,55.96,42.5,33.99,48.32,1
19-03-2018 13:09:00,56.31,42.81,34.17,48.73,1
19-03-2018 13:10:00,56.66,42.77,34.27,48.9,1
19-03-2018 13:11:00,56.86,42.93,34.74,49.02,1
19-03-2018 13:12:00,57.03,43.1,34.78,49.25,1
19-03-2018 13:13:00,57.06,43.03,34.71,49.22,1
19-03-2018 13:14:00,57.06,42.96,34.64,49.32,1
19-03-2018 13:15:00,57.18,43.24,35.21,49.4,1
19-03-2018 13:16:00,57.2,43.31,35.28,49.56,1
19-03-2018 13:17:00,57.29,43.26,34.95,49.63,1
19-03-2018 13:18:00,57.29,43.31,35.39,49.6,1
19-03-2018 13:19:00,57.35,43.39,35.45,49.71,1
19-03-2018 13:20:00,57.35,43.66,35.86,49.95,1
19-03-2018 13:21:00,57.26,43.9,36.07,50.08,1
19-03-2018 13:22:00,57.29,43.58,35.56,49.89,1
19-03-2018 13:23:00,56.25,44.25,36.41,50.18,1
19-03-2018 13:24:00,54.82,44.11,36.46,49.56,1
19-03-2018 13:25:00,53.88,44.16,36.88,49.18,1
19-03-2018 13:26:00,53.18,43.92,36.47,48.76,1
19-03-2018 13:27:00,52.53,43.42,35.82,48.11,1
19-03-2018 13:28:00,52.12,43.19,35.7,47.79,1
19-03-2018 13:29:00,51.68,42.83,35.28,47.28,1
19-03-2018 13:30:00,51.17,42.58,35.29,46.92,1
19-03-2018 13:31:00,50.71,42.29,34.92,46.41,1
19-03-2018 13:32:00,50.26,42.23,35,46.21,1
19-03-2018 13:33:00,49.95,42.19,35.15,46.1,1
19-03-2018 13:34:00,49.75,42.04,34.93,45.95,1
19-03-2018 13:35:00,49.51,41.9,34.97,45.68,1
19-03-2018 13:36:00,49.23,41.97,35.11,45.64,1
19-03-2018 13:37:00,49,41.76,34.85,45.37,1
19-03-2018 13:38:00,48.7,41.78,35.15,45.2,1
19-03-2018 13:39:00,48.56,41.74,35.11,45.1,1
19-03-2018 13:40:00,48.49,41.94,35.29,45.32,1
19-03-2018 13:41:00,48.48,41.68,34.85,45.12,1
19-03-2018 13:42:00,49.41,41.76,35,45.37,1
19-03-2018 13:43:00,50.4,42.11,35.57,45.83,1
19-03-2018 13:44:00,50.92,41.55,34.61,45.64,1
19-03-2018 13:45:00,51.46,41.78,35.02,46.03,1
19-03-2018 13:46:00,54.27,49.5,35.97,42.46,2
19-03-2018 13:47:00,54.68,50.21,36.11,42.7,2
19-03-2018 13:48:00,55,50.63,35.89,42.62,2
19-03-2018 13:49:00,55.32,50.88,35.64,42.21,2
19-03-2018 13:50:00,55.05,51.56,35.73,42.29,2
19-03-2018 13:51:00,52.27,49.89,35.47,42.11,2
19-03-2018 13:52:00,50.82,48.67,35.34,41.9,2
19-03-2018 13:53:00,49.54,47.61,35.25,41.68,2
19-03-2018 13:54:00,48.75,46.96,35.21,41.53,2
19-03-2018 13:55:00,48.33,46.64,35.08,41.49,2
19-03-2018 13:56:00,47.64,46.05,35.14,41.25,2
19-03-2018 13:57:00,47.2,45.64,35.44,41.29,2
19-03-2018 13:58:00,47.15,45.66,35.88,41.55,2
19-03-2018 13:59:00,47.02,45.61,35.84,41.62,2
19-03-2018 14:00:00,46.8,45.37,35.91,41.72,2
19-03-2018 14:01:00,46.32,45,35.53,41.22,2
19-03-2018 14:02:00,46.39,45.03,36.2,41.65,2
19-03-2018 14:03:00,46.32,44.96,35.79,41.45,2
19-03-2018 14:04:00,46.31,44.98,36.24,41.7,2
19-03-2018 14:05:00,46.22,44.91,36.06,41.67,2
19-03-2018 14:06:00,46.19,44.88,36.08,41.69,2
19-03-2018 14:07:00,46.07,44.83,36.02,41.55,2
19-03-2018 14:08:00,46.24,44.87,35.93,41.62,2
19-03-2018 14:09:00,46.11,44.83,35.34,41.49,2
19-03-2018 14:10:00,45.46,44.29,34.93,40.65,2
19-03-2018 14:11:00,45.32,44.12,35.37,40.88,2
19-03-2018 14:12:00,45.43,44.23,35.71,41.32,2
19-03-2018 14:13:00,45.36,44.16,35.64,41.18,2
19-03-2018 14:14:00,45.5,44.29,36.11,41.43,2
19-03-2018 14:15:00,45.5,44.27,36.01,41.45,2
19-03-2018 14:16:00,45.54,44.41,36.44,41.72,2
19-03-2018 14:17:00,45.71,44.58,35.99,41.68,2
19-03-2018 14:18:00,46.02,44.72,35.89,41.78,2
19-03-2018 14:19:00,47.41,45.45,35.82,41.88,2
19-03-2018 14:20:00,48.98,46.41,35.84,41.95,2
19-03-2018 14:21:00,50.08,47.09,35.47,41.67,2
19-03-2018 14:22:00,50.92,47.63,36.21,42.09,2
19-03-2018 14:23:00,51.63,48.29,36.52,42.45,2
19-03-2018 14:24:00,52.28,48.85,36.27,42.53,2
19-03-2018 14:25:00,53.07,49.53,36.37,42.73,2
19-03-2018 14:26:00,54.42,50.52,36.5,42.87,2
19-03-2018 14:27:00,56.95,52.2,35.88,42.77,2
19-03-2018 14:28:00,58.98,53.7,35.74,42.63,2
19-03-2018 14:29:00,60.75,55.02,35.79,42.91,2
19-03-2018 14:30:00,62.15,56.34,36.03,43.4,2
19-03-2018 14:31:00,62.15,56.78,36.27,43.71,2
19-03-2018 14:32:00,55.75,53.34,36.27,43.36,2
19-03-2018 14:33:00,53.36,51.48,35.91,42.93,2
19-03-2018 14:34:00,52.17,50.34,36.05,42.66,2
19-03-2018 14:35:00,50.97,49.16,35.59,42.32,2
19-03-2018 14:36:00,50.35,48.71,36.06,42.56,2
19-03-2018 14:37:00,49.81,48.36,36.2,42.72,2
19-03-2018 14:38:00,49.33,47.81,36.13,42.38,2
19-03-2018 14:39:00,48.58,47.13,36.02,42.04,2
19-03-2018 14:40:00,48.12,46.86,36.05,42.06,2
19-03-2018 14:41:00,48.01,46.65,36.05,42.19,2
19-03-2018 14:42:00,47.67,46.48,36.11,42.23,2
19-03-2018 14:43:00,47.56,46.31,36.07,42.12,2
19-03-2018 14:44:00,47.49,46.28,36.11,42.19,2
19-03-2018 14:45:00,47.31,46.09,36.26,42.14,2
19-03-2018 14:46:00,47.18,45.99,36.19,42.04,2
19-03-2018 14:47:00,47.22,46.03,36.18,42.25,2
19-03-2018 14:48:00,48.5,46.73,36.27,42.32,2
19-03-2018 14:49:00,50.72,47.9,35.87,42.16,2
19-03-2018 14:50:00,51.73,48.57,35.92,42.08,2
19-03-2018 14:51:00,52.53,49.15,35.82,42.19,2
19-03-2018 14:52:00,53.15,49.56,35.35,41.81,2
19-03-2018 14:53:00,53.74,50.05,35.6,42.1,2
19-03-2018 14:54:00,54.44,50.67,35.4,42.13,2
19-03-2018 14:55:00,55.37,51.32,35.56,42.27,2
19-03-2018 14:56:00,57.1,52.44,35.55,42.32,2
19-03-2018 14:57:00,59.12,53.88,35.56,42.55,2
19-03-2018 14:58:00,60.78,55.02,35.12,42.42,2
19-03-2018 14:59:00,61.86,56.13,35.39,42.84,2
19-03-2018 15:00:00,62.93,57.02,35.37,42.97,2
19-03-2018 15:01:00,62.93,57.25,35.56,43.16,2
19-03-2018 15:02:00,57.71,54.79,35.45,42.69,2
19-03-2018 15:03:00,53.74,51.81,34.91,42.24,2
19-03-2018 15:04:00,52.17,50.29,35.11,41.9,2
19-03-2018 15:05:00,50.91,49.09,34.96,41.55,2
19-03-2018 15:06:00,50.05,48.28,34.78,41.39,2
19-03-2018 15:07:00,48.8,47.31,34.56,41,2
19-03-2018 15:08:00,48.63,46.96,34.71,41.13,2
19-03-2018 15:09:00,48.05,46.55,34.35,40.78,2
19-03-2018 15:10:00,47.63,46.14,34.39,40.71,2
19-03-2018 15:11:00,47.48,46.03,34.49,40.91,2
19-03-2018 15:12:00,46.94,45.58,34.08,40.46,2
19-03-2018 15:13:00,46.6,45.17,34.17,40.39,2
19-03-2018 15:14:00,46.29,45.03,34.45,40.48,2
19-03-2018 15:15:00,46.31,45.08,34.76,40.66,2
19-03-2018 15:16:00,46.28,44.91,34.63,40.56,2
19-03-2018 15:17:00,48.93,46.25,34.41,40.66,2
19-03-2018 15:18:00,50.76,47.38,33.89,40.39,2
