Timestamp,EX1_FAN_IN_TEMP_ITL,EX1_FAN_OUT_TEMP_ITL,FA1_FAN_IN_TEMP_ITL,FA1_FAN_OUT_TEMP_ITL,class
19-03-2018  12:35:00,23.4,30.56,31.58,27.32,1
19-03-2018  12:36:00,23.21,30.67,31.81,27.01,1
19-03-2018  12:37:00,22.82,30.38,31.59,27.08,1
19-03-2018  12:38:00,23.09,30.27,31.59,27.28,1
19-03-2018  12:39:00,23.74,30.53,31.21,27.11,1
19-03-2018  12:40:00,23.29,29.82,31.49,27.11,1
19-03-2018  12:41:00,23.06,30.46,31.4,27.25,1
19-03-2018  12:42:00,22.99,30.58,31.93,27.15,1
19-03-2018  12:43:00,23.11,30.09,31.77,27.13,1
19-03-2018  12:44:00,23.5,30.61,31.61,27.28,1
19-03-2018  12:45:00,23.69,30.51,32.08,27.5,1
19-03-2018  12:46:00,23.05,30.07,31.78,27.45,1
19-03-2018  12:47:00,23.25,30.68,31.66,27.53,1
19-03-2018  12:48:00,23.52,30.74,31.2,27.54,1
19-03-2018  12:49:00,23.7,30.53,31.68,27.64,1
19-03-2018  12:50:00,24.31,30.63,31.85,27.65,1
19-03-2018  12:51:00,24.42,30.48,31.84,27.69,1
19-03-2018  12:52:00,24.14,30.73,31.7,27.96,1
19-03-2018  12:53:00,24.3,30.83,31.68,27.85,1
19-03-2018  12:54:00,24.43,30.82,31.94,28.18,1
19-03-2018  12:55:00,24.55,30.9,31.72,27.89,1
19-03-2018  12:56:00,24.59,30.6,31.7,28.21,1
19-03-2018  12:57:00,24.35,30.58,31.6,28.26,1
19-03-2018  12:58:00,24.75,30.53,31.73,28.09,1
19-03-2018  12:59:00,24.87,31.51,32.13,28.41,1
19-03-2018  13:00:00,24.96,31.08,32.13,28.15,1
19-03-2018  13:01:00,25.02,31.76,32.01,28.48,1
19-03-2018  13:02:00,24.55,30.88,31.75,28.08,1
19-03-2018  13:03:00,24.37,31.2,31.69,28.17,1
19-03-2018  13:04:00,23.66,31.21,32.46,28.06,1
19-03-2018  13:05:00,23.28,31.26,32.47,27.81,1
19-03-2018  13:06:00,23.06,30.59,31.63,27.77,1
19-03-2018  13:07:00,22.75,30.81,32.15,27.63,1
19-03-2018  13:08:00,22.74,30.42,32.2,27.28,1
19-03-2018  13:09:00,22.31,30.95,32.58,27.15,1
19-03-2018  13:10:00,22.31,30.81,32.58,27.17,1
19-03-2018  13:11:00,22.23,30.58,31.79,26.92,1
19-03-2018  13:12:00,21.73,30.47,31.93,26.8,1
19-03-2018  13:13:00,21.57,30.39,32.31,26.7,1
19-03-2018  13:14:00,21.67,30.45,32.35,26.74,1
19-03-2018  13:15:00,21.46,30.06,31.73,26.67,1
19-03-2018  13:16:00,21.32,30.23,31.97,26.41,1
19-03-2018  13:17:00,21.64,29.9,32.66,26.57,1
19-03-2018  13:18:00,21.27,30.07,31.77,26.38,1
19-03-2018  13:19:00,21.25,29.98,31.88,26.19,1
19-03-2018  13:20:00,21.25,29.5,31.89,26.25,1
19-03-2018  13:21:00,21.09,29.58,31.85,26.12,1
19-03-2018  13:22:00,20.98,29.76,31.68,26.04,1
19-03-2018  13:23:00,22.32,29.81,31.36,26.4,1
19-03-2018  13:24:00,23.45,29.88,31.07,26.91,1
19-03-2018  13:25:00,23.94,29.54,31.52,27.17,1
19-03-2018  13:26:00,24.37,30.53,31.63,27.53,1
19-03-2018  13:27:00,24.51,30.51,32.03,27.69,1
19-03-2018  13:28:00,24.78,30.7,32.62,28.16,1
19-03-2018  13:29:00,24.95,31.12,32.42,28.26,1
19-03-2018  13:30:00,25.29,31.28,32.57,28.56,1
19-03-2018  13:31:00,25.43,30.42,32.3,28.55,1
19-03-2018  13:32:00,25.61,30.97,32.16,28.75,1
19-03-2018  13:33:00,25.78,30.71,32.33,29.03,1
19-03-2018  13:34:00,26.28,31.3,32.72,29.23,1
19-03-2018  13:35:00,26,31.58,32.54,29.2,1
