Timestamp,EX2_FAN_IN_RH_ITL,EX2_FAN_OUT_RH_ITL,FA2_FAN_IN_RH_ITL,FA2_FAN_OUT_RH_ITL,EX2_FAN_IN_TEMP_ITL,EX2_FAN_OUT_TEMP_ITL,FA2_FAN_IN_TEMP_ITL,FA2_FAN_OUT_TEMP_ITL
21-03-2018 03:32:00,44.44,35.69,44.08,43.71,26.35,33.77,31.9,31.89
21-03-2018 03:31:00,43.87,35.55,44.01,43.71,27.11,33.21,32.08,32.64
21-03-2018 03:30:00,43.45,35.69,44.15,43.67,28.03,33.69,32.17,32.21
21-03-2018 03:29:00,45.31,36.08,44.35,44.58,29.31,33.65,31.81,32.95
21-03-2018 03:28:00,46.19,36.05,44.22,44.58,29.46,33.81,31.75,32.95
21-03-2018 03:27:00,46.16,35.77,44.08,44.58,29.3,33.2,31.77,32.55
21-03-2018 03:26:00,46.4,35.72,43.98,44.58,29.37,33.11,31.59,32.81
21-03-2018 03:25:00,46.34,36.12,44.15,44.72,29.21,33.5,31.69,32.7
21-03-2018 03:24:00,46.51,35.65,43.88,44.51,29.23,32.91,31.81,32.48
21-03-2018 03:23:00,46.62,35.85,43.98,44.58,29.05,33.14,32.17,32.85
21-03-2018 03:22:00,46.89,35.79,44.01,44.7,28.89,33.02,31.97,32.4
21-03-2018 03:21:00,46.86,35.98,44.01,44.7,28.72,32.97,31.83,32.33
21-03-2018 03:20:00,46.89,35.79,43.88,44.5,28.78,33.15,31.9,32.38
21-03-2018 03:19:00,46.9,35.44,43.67,44.5,28.77,33.25,32,32.51
21-03-2018 03:18:00,47.18,35.5,43.8,44.63,28.61,33.58,31.95,32.23
21-03-2018 03:17:00,47.33,35.5,43.66,44.67,28.68,33.7,32.08,32.42
21-03-2018 03:16:00,47.57,35.23,43.63,44.67,28.35,32.93,31.97,32.32
21-03-2018 03:15:00,47.89,35.29,43.63,44.74,28.31,33.46,32.06,32.3
21-03-2018 03:14:00,48.16,35.29,43.6,44.82,27.86,33.27,32.08,31.94
21-03-2018 03:13:00,48.6,34.92,43.56,44.89,27.73,33.59,32.44,32.45
21-03-2018 03:12:00,48.92,35.16,43.56,45,27.6,33.39,32.22,31.79
21-03-2018 03:11:00,49.31,35.16,43.56,45.1,27.21,32.84,32.28,32.29
21-03-2018 03:10:00,49.72,35.01,43.49,45.08,27.29,33.6,32.22,31.74
21-03-2018 03:09:00,50.56,34.94,43.49,-6,26.37,33.28,32.36,31.93
21-03-2018 03:08:00,51.05,34.41,43.56,45.39,26.25,33.97,31.87,31.63
21-03-2018 03:07:00,51.77,34.41,43.39,45.34,25.78,33.55,32.31,31.13
21-03-2018 03:06:00,51.51,34.66,43.49,45.2,24.77,33.61,32,31.49
21-03-2018 03:05:00,47.4,35.01,43.73,44.25,23.52,33.54,32.12,30.95
21-03-2018 03:04:00,46.78,35.41,43.96,44.38,24.17,33.47,32.22,31.62
21-03-2018 03:03:00,46.38,35.55,44.01,44.24,24.52,33.51,31.82,31.45
21-03-2018 03:02:00,45.89,35.77,44.05,44.2,25,33.78,31.92,31.92
21-03-2018 03:01:00,45.43,35.03,43.81,43.71,25.81,33.27,31.86,31.54
21-03-2018 03:00:00,44.99,35.31,43.88,43.8,26.07,33.12,31.75,32.28
21-03-2018 02:59:00,44.56,36.05,44.09,43.86,26.64,33.07,31.72,32.09
21-03-2018 02:58:00,44.12,35.82,44.16,43.78,27.65,33.09,31.68,32.52
21-03-2018 02:57:00,44.38,35.82,44.09,43.84,28.68,33.28,31.76,32.53
21-03-2018 02:56:00,45.95,35.65,43.96,44.28,29.53,32.88,31.56,32.56
21-03-2018 02:55:00,45.82,35.72,43.96,44.25,29.32,33.34,31.76,32.72
21-03-2018 02:54:00,45.79,35.28,43.75,44.04,29.13,33.22,31.54,32.64
21-03-2018 02:53:00,45.73,35.1,43.65,43.9,29.28,33.24,31.8,32.6
21-03-2018 02:52:00,45.83,34.61,43.48,43.8,29.07,33.03,31.91,32.37
21-03-2018 02:51:00,45.88,34.61,43.54,43.78,29.05,33.3,32.4,32.82
21-03-2018 02:50:00,46.06,34.31,43.44,43.78,28.89,33.09,31.86,32.51
21-03-2018 02:49:00,46.6,34.44,43.54,44.16,28.72,33.16,31.96,32.77
21-03-2018 02:48:00,46.8,34.99,43.71,44.32,28.86,33.25,32.03,32.87
21-03-2018 02:47:00,47.25,34.72,43.51,44.43,28.76,33.53,32.19,32.13
21-03-2018 02:46:00,47.57,35.26,43.67,44.67,28.41,32.7,32.09,32.29
21-03-2018 02:45:00,47.64,35.5,43.67,44.74,28.16,33.18,32.38,32.23
21-03-2018 02:44:00,47.77,35.16,43.54,44.61,28.36,32.81,31.84,32
21-03-2018 02:43:00,47.83,35.02,43.51,44.51,27.89,33.28,32.18,32.43
21-03-2018 02:42:00,48.11,34.6,43.37,44.48,27.6,33.05,32.22,32.19
21-03-2018 02:41:00,48.58,34.47,43.36,44.58,27.57,33.49,32.28,32.2
21-03-2018 02:40:00,49,34.47,43.36,44.66,27.29,32.69,32.1,31.88
21-03-2018 02:39:00,49.49,34.73,43.39,44.83,26.82,33.68,31.82,32.04
21-03-2018 02:38:00,50.47,34.33,43.39,45.12,26.73,33.54,32.18,31.85
21-03-2018 02:37:00,51.26,34.8,43.39,45.25,26.27,33.71,32,31.57
21-03-2018 02:36:00,51.86,35.08,43.58,45.39,25.58,33.61,32.09,31.38
21-03-2018 02:35:00,51.22,34.86,43.51,44.07,24.5,33.75,32.32,31.31
21-03-2018 02:34:00,48.57,34.31,43.31,44.07,24.13,33.72,32.34,31.65
21-03-2018 02:33:00,47.98,33.7,43.28,43.72,24.13,33.71,32.21,31.54
21-03-2018 02:32:00,47.42,34.08,43.28,43.71,24.6,33.92,32.41,31.88
21-03-2018 02:31:00,46.77,33.48,43.14,43.39,24.94,34.14,32.18,31.9
21-03-2018 02:30:00,46.17,34.17,43.3,43.48,25.68,34.22,32.14,32.02
21-03-2018 02:29:00,45.57,33.54,43.13,43.13,25.93,34.18,32.75,32.55
21-03-2018 02:28:00,45.11,33.07,42.86,42.85,26.62,33.41,32.53,32.7
21-03-2018 02:27:00,44.67,32.99,42.76,42.81,27.36,33.75,32.29,32.9
21-03-2018 02:26:00,45.03,32.7,42.72,42.97,28.4,34.73,32.39,33.21
21-03-2018 02:25:00,45.84,33.19,42.79,43.34,29.22,34.43,32.48,32.93
21-03-2018 02:24:00,46.19,33.15,0,43.48,29.07,33.74,32.48,33.09
21-03-2018 02:23:00,46.23,33.35,42.96,43.52,28.74,34.01,32.32,33.02
21-03-2018 02:22:00,46.27,33.23,42.89,43.52,28.6,34.34,32.34,32.53
21-03-2018 02:21:00,46.41,32.63,42.83,43.36,28.34,34.02,32.38,32.64
21-03-2018 02:20:00,46.69,32.83,42.83,43.51,28.44,34.09,32.02,32.64
21-03-2018 02:19:00,47.24,32.75,42.76,43.75,28.22,34.75,32.51,32.41
21-03-2018 02:18:00,47.35,32.83,42.68,43.78,28.05,34.17,32.31,32.68
21-03-2018 02:17:00,47.7,32.93,42.61,43.96,27.9,34.76,32.55,32.08
21-03-2018 02:16:00,48.24,33.54,42.71,44.42,27.76,34.36,32.53,32
21-03-2018 02:15:00,48.56,33.24,42.65,44.49,27.25,34.33,32.33,32.04
21-03-2018 02:14:00,48.71,33.4,42.74,44.54,27.16,33.91,32.63,32.19
21-03-2018 02:13:00,49.08,33.3,42.74,44.65,27.12,34,32.27,31.53
21-03-2018 02:12:00,49.6,33.14,42.54,44.83,26.84,34.29,32.08,31.44
21-03-2018 02:11:00,50.41,33.44,42.48,45.35,26.34,34.06,32.58,31.01
21-03-2018 02:10:00,51.17,33.68,42.63,45.86,26.13,33.84,32.5,31.15
21-03-2018 02:09:00,52.33,34.41,42.63,46.76,25.72,34.2,32.83,30.86
21-03-2018 02:08:00,52.86,35.61,42.93,47.7,25.35,33.88,32.73,30.53
21-03-2018 02:07:00,53.51,36.02,42.97,0,25.29,33.56,32.87,29.81
21-03-2018 02:06:00,54.3,37.46,43.19,51.4,24.8,32.82,32.87,29.49
21-03-2018 02:05:00,55.39,39.14,43.51,51.4,24.36,31.8,32.36,28.59
21-03-2018 02:04:00,56.1,41.12,43.54,53.19,23.75,31.05,32.45,27.03
21-03-2018 02:03:00,55.74,43.38,43.47,54.38,23.51,27.94,32.26,25.37
